label / lang,en,es,fr,ja,ko,pt,ar
@toastMessageSettingSuccessToResetData,"{""description"": ""데이터 초기화 성공 토스트 메시지""}","{""description"": ""데이터 초기화 성공 토스트 메시지""}","{""description"": ""데이터 초기화 성공 토스트 메시지""}","{""description"": ""데이터 초기화 성공 토스트 메시지""}","{""description"": ""데이터 초기화 성공 토스트 메시지""}","{""description"": ""데이터 초기화 성공 토스트 메시지""}","{""description"": ""데이터 초기화 성공 토스트 메시지""}"
toastMessageSettingFailedToResetData,Failed to reset data,Error al restablecer los datos,Échec de la réinitialisation des données,データのリセットに失敗しました,데이터를 초기화하는데 실패했어요,Falha ao redefinir dados,فشل في إعادة تعيين البيانات
@toastMessageSettingFailedToResetData,"{""description"": ""데이터 초기화 실패 토스트 메시지""}","{""description"": ""데이터 초기화 실패 토스트 메시지""}","{""description"": ""데이터 초기화 실패 토스트 메시지""}","{""description"": ""데이터 초기화 실패 토스트 메시지""}","{""description"": ""데이터 초기화 실패 토스트 메시지""}","{""description"": ""데이터 초기화 실패 토스트 메시지""}","{""description"": ""데이터 초기화 실패 토스트 메시지""}"
toastMessageExitApp,Press back again to exit,Presione de nuevo para salir,Appuyez à nouveau pour quitter,もう一度押すとアプリを終了します,한 번 더 누르면 앱을 종료합니다,Pressione novamente para sair,اضغط مرة أخرى للخروج
@toastMessageExitApp,"{""description"": ""앱 종료 토스트 메시지""}","{""description"": ""앱 종료 토스트 메시지""}","{""description"": ""앱 종료 토스트 메시지""}","{""description"": ""앱 종료 토스트 메시지""}","{""description"": ""앱 종료 토스트 메시지""}","{""description"": ""앱 종료 토스트 메시지""}","{""description"": ""앱 종료 토스트 메시지""}"
toastMessageGoBack,Press again to go back,Presiona una vez más para regresar.,Appuyez encore une fois pour revenir en arrière.,もう一度押すと戻ります。,한 번 더 누르면 뒤로 갑니다.,Pressione mais uma vez para voltar.,اضغط مرة أخرى للعودة.
@toastMessageGoBack,"{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}","{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}","{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}","{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}","{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}","{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}","{""description"": ""두번 눌러서 화면 뒤로 가기 안내문구""}"
toastMessageFailedToLoadWeights,Failed to load weights,Error al cargar los pesos,Échec du chargement des poids,体重の読み込みに失敗しました,몸무게 불러오기 실패,Falha ao carregar pesos,فشل في تحميل الأوزان
@toastMessageFailedToLoadWeights,"{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}","{""description"": ""몸무게 불러오기 실패 토스트 메시지""}"
labelLabAllowAd,Allow Ads,Permitir anuncios,Autoriser les annonces,広告を許可,광고 허용,Permitir anúncios,السماح بالإعلانات
@labelLabAllowAd,"{""description"": ""Label for enabling ads""}","{""description"": ""Etiqueta para habilitar anuncios""}","{""description"": ""Étiquette pour activer les annonces""}","{""description"": ""広告を有効にするためのラベル""}","{""description"": ""광고 활성화 라벨""}","{""description"": ""Rótulo para ativar anúncios""}","{""description"": ""تسمية تفعيل الإعلانات""}"
bmi 다이얼로그,,,,,,,
bmiMyBMI,My BMI,Mi IMC,Mon IMC,私のBMI,나의 BMI,Meu IMC,مؤشر كتلة الجسم الخاص بي
@bmiMyBMI,"{""description"": ""BMI 다이얼로그 타이틀""}","{""description"": ""BMI 다이얼로그 타이틀""}","{""description"": ""BMI 다이얼로그 타이틀""}","{""description"": ""BMI 다이얼로그 타이틀""}","{""description"": ""BMI 다이얼로그 타이틀""}","{""description"": ""BMI 다이얼로그 타이틀""}","{""description"": ""BMI 다이얼로그 타이틀""}"
bmiClassification,BMI Classification,Clasificación de IMC,Classification IMC,BMI計算基準,BMI 계산 기준,Classificação IMC,تصنيف مؤشر كتلة الجسم
@bmiClassification,"{""description"": ""BMI 등급표 다이얼로그 제목""}","{""description"": ""BMI 등급표 다이얼로그 제목""}","{""description"": ""BMI 등급표 다이얼로그 제목""}","{""description"": ""BMI 등급표 다이얼로그 제목""}","{""description"": ""BMI 등급표 다이얼로그 제목""}","{""description"": ""BMI 등급표 다이얼로그 제목""}","{""description"": ""BMI 등급표 다이얼로그 제목""}"
bmiLessThan,Less than {value},Menos de {value},Moins de {value},{value}未満,{value} 미만,Menos de {value},أقل من {value}
@bmiLessThan,"{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""18.5""}}}"
bmiAbove,{value} and above,{value} o más,{value} ou plus,{value}以上,{value} 이상,{value} ou mais,{value} أو أكثر
@bmiAbove,"{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}","{""description"": ""BMI Classification"", ""placeholders"": {""value"": {""type"": ""String"", ""example"": ""30.0""}}}"
일반적 변수,,,,,,,
bmiUnderweight,Underweight,Bajo peso,Insuffisance pondérale,低体重,저체중,Abaixo do peso,نقص الوزن
@bmiUnderweight,"{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}"
bmiNormal,Normal weight,Peso normal,Poids normal,正常体重,정상 체중,Peso normal,وزن طبيعي
@bmiNormal,"{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}"
bmiPreobesity,Pre-obesity,Preobesidad,Surpoids,前肥満,과체중,Pré-obesidade,ما قبل السمنة
@bmiPreobesity,"{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}"
bmiObesityClass1,Obesity class 1,Obesidad clase 1,Obésité classe 1,肥満1度,1단계 비만,Obesidade classe 1,السمنة من الفئة 1
@bmiObesityClass1,"{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}"
bmiObesityClass2,Obesity class 2,Obesidad clase 2,Obésité classe 2,肥満2度,2단계 비만,Obesidade classe 2,السمنة من الفئة 2
@bmiObesityClass2,"{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}"
bmiObesityClass3,Obesity class 3,Obesidad clase 3,Obésité classe 3,肥満3度,3단계 비만,Obesidade classe 3,السمنة من الفئة 3
@bmiObesityClass3,"{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}","{""description"": ""BMI Classification""}"
동적 텍스트,,,,,,,
contentRecordWeightDiff,"{diffType, select, increased {{weightDiff}{unit} more than yesterday} decreased {{weightDiff}{unit} less than yesterday} other {same as yesterday}}","{diffType, select, increased {{weightDiff}{unit} más que ayer} decreased {{weightDiff}{unit} menos que ayer} other {igual que ayer}}","{diffType, select, increased {{weightDiff}{unit} de plus qu'hier} decreased {{weightDiff}{unit} de moins qu'hier} other {identique à hier}}","{diffType, select, increased {昨日より+{weightDiff}{unit}} decreased {昨日より-{weightDiff}{unit}} other {昨日と同じ}}","{diffType, select, increased {어제보다 +{weightDiff}{unit}} decreased {어제보다 -{weightDiff}{unit}} other {어제와 같음}}","{diffType, select, increased {{weightDiff}{unit} a mais que ontem} decreased {{weightDiff}{unit} a menos que ontem} other {igual a ontem}}","{diffType, select, increased {{weightDiff}{unit} أكثر من أمس} decreased {{weightDiff}{unit} أقل من أمس} other {مطابق لأمس}}"
@contentRecordWeightDiff,"{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""어제 기록과 비교한 체중 변화"", ""placeholders"": {""diffType"": {""type"": ""String"", ""example"": ""increased""}, ""weightDiff"": {""type"": ""String"", ""example"": ""1.2""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}"
toastMessageValidWeightRange,Range: {from}{unit} to {to}{unit},Rango válido: de {from}{unit} a {to}{unit},Plage valide : {from}{unit} à {to}{unit},設定可能範囲: {from}{unit} - {to}{unit},설정 가능 범위: {from}{unit} - {to}{unit},Faixa válida: de {from}{unit} a {to}{unit},النطاق المسموح به: {from}{unit} - {to}{unit}
@toastMessageValidWeightRange,"{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}","{""description"": ""무게 설정 가능 범위"", ""placeholders"": {""from"": {""type"": ""String"", ""example"": ""1.0""}, ""to"": {""type"": ""String"", ""example"": ""100.0""}, ""unit"": {""type"": ""String"", ""example"": ""kg""}}}"
toastMessageMinHeight,Minimum height: {height},La altura debe ser al menos {height},La taille doit être d'au moins {height},身長は{height}以上でなければなりません,키는 {height} 이상이어야해요,A altura deve ser de pelo menos {height},يجب أن يكون الطول على الأقل {height}
@toastMessageMinHeight,"{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}","{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}","{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}","{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}","{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}","{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}","{""description"": ""최소 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""1.0cm""}}}"
toastMessageMaxHeight,Maximum height: {height},La altura debe ser como máximo {height},La taille doit être d'au plus {height},身長は{height}以下でなければなりません,키는 {height} 이하이어야해요,A altura deve ser no máximo {height},يجب أن يكون الطول على الأكثر {height}
@toastMessageMaxHeight,"{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""5ft 3in""}}}","{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""5ft 3in""}}}","{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""5ft 3in""}}}","{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""5ft 3in""}}}","{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""heightText"": {""type"": ""String"", ""example"": ""5ft 3in""}}}","{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""5ft 3in""}}}","{""description"": ""최대 키 설정 가능 범위"", ""placeholders"": {""height"": {""type"": ""String"", ""example"": ""5ft 3in""}}}"
후원 기능 업데이트,,,,,,,
toastMessageCantOpenLink,Unable to open the link.,No se puede abrir el enlace.,Impossible d'ouvrir le lien.,リンクを開くことができません。,링크를 열 수 없어요,Não foi possível abrir o link.,لا يمكن فتح الرابط.
@toastMessageCantOpenLink,"{""description"": ""링크 열기 실패 토스트 메시지""}","{""description"": ""링크 열기 실패 토스트 메시지""}","{""description"": ""링크 열기 실패 토스트 메시지""}","{""description"": ""링크 열기 실패 토스트 메시지""}","{""description"": ""링크 열기 실패 토스트 메시지""}","{""description"": ""링크 열기 실패 토스트 메시지""}","{""description"": ""링크 열기 실패 토스트 메시지""}"
labelSettingDonation,Donation,Donación,Don,寄付,후원하기,Doação,الدعم
@labelSettingDonation,"{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}","{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}","{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}","{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}","{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}","{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}","{""description"": ""설정화면 타일 후원하기 화면 이동 타일 라벨""}"
titleDonation,Donate,Donar,Faire un don,寄付する,후원하기,Doar,ادعمنا
@titleDonation,"{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}","{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}","{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}","{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}","{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}","{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}","{""description"": ""후원하기 페이지 제목"", ""placeholders"": {}}"
titleDonatorList,Our Donors,Nuestros Donantes,Nos Donateurs,寄付者の皆様,앱에 도움을 주신 분들,Nossos Doadores,الداعمين للتطبيق
@titleDonatorList,"{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}","{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}","{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}","{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}","{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}","{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}","{""description"": ""앱에 도움을 주신 분들 페이지 제목"", ""placeholders"": {}}"
labelDialogWrite,Write,Escribir,Écrire,作成,작성,Escrever,كتابة
@labelDialogWrite,"{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}","{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}","{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}","{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}","{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}","{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}","{""description"": ""작성 버튼 레이블"", ""placeholders"": {}}"
titleDonationAfterDonated,Write a Message,Dejar un Mensaje,Laisser un Message,メッセージを作成,메시지 작성,Deixar uma Mensagem,اترك رسالة
@titleDonationAfterDonated,"{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 제목"", ""placeholders"": {}}"
contentDonationAfterDonated,"Thank you for your support!
Would you like to write a message?","¡Gracias por tu donación!
¿Quieres dejar un mensaje?","Merci pour votre don !
Souhaitez-vous laisser un message ?","寄付ありがとうございます！
メッセージを作成しますか？","후원해주셔서 감사합니다!
메시지를 작성하시곘습니까?","Obrigado pela doação!
Gostaria de deixar uma mensagem?","شكرًا لدعمك!
هل تود ترك رسالة؟"
@contentDonationAfterDonated,"{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}","{""description"": ""후원 후 메시지 작성 다이얼로그 내용"", ""placeholders"": {}}"
labelDonationWriteEmptyName,Please enter your name.,"Por favor, introduce tu nombre.",Veuillez entrer votre nom.,名前を入力してください。,이름을 입력해주세요.,"Por favor, insira seu nome.",يرجى إدخال اسمك.
@labelDonationWriteEmptyName,"{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""이름을 입력해주세요 에러 메시지"", ""placeholders"": {}}"
labelDonationWriteInvalidEmail,Invalid email address.,Dirección de correo electrónico no válida.,Adresse e-mail invalide.,無効なメールアドレスです。,이메일 주소가 올바르지 않습니다.,Endereço de e-mail inválido.,البريد الإلكتروني غير صالح.
@labelDonationWriteInvalidEmail,"{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}","{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}","{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}","{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}","{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}","{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}","{""description"": ""이메일 주소가 올바르지 않습니다 에러 메시지"", ""placeholders"": {}}"
labelDonationWriteEmptyMessage,Please enter a message.,"Por favor, introduce un mensaje.",Veuillez entrer un message.,メッセージを入力してください。,메시지를 입력해주세요.,"Por favor, insira uma mensagem.",يرجى إدخال رسالة.
@labelDonationWriteEmptyMessage,"{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}","{""description"": ""메시지를 입력해주세요 에러 메시지"", ""placeholders"": {}}"
labelTimeYears,{year} years,{year} años,{year} ans,{year}年,{year}년,{year} anos,{year} سنة
@labelTimeYears,"{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n년을 나타내는 문자열"", ""placeholders"": {""year"": {""type"": ""String"", ""example"": ""1""}}}"
labelTimeMonths,{month} months,{month} meses,{month} mois,{month}ヶ月,{month}개월,{month} meses,{month} شهر
@labelTimeMonths,"{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n개월을 나타내는 문자열"", ""placeholders"": {""month"": {""type"": ""String"", ""example"": ""1""}}}"
labelTimeDays,{day} days,{day} días,{day} jours,{day}日,{day}일,{day} dias,{day} يوم
@labelTimeDays,"{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n일을 나타내는 문자열"", ""placeholders"": {""day"": {""type"": ""String"", ""example"": ""1""}}}"
labelTimeHours,{hour} hours,{hour} horas,{hour} heures,{hour}時間,{hour}시간,{hour} horas,{hour} ساعة
@labelTimeHours,"{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n시간을 나타내는 문자열"", ""placeholders"": {""hour"": {""type"": ""String"", ""example"": ""1""}}}"
labelTimeMinutes,{minute} minutes,{minute} minutos,{minute} minutes,{minute}分,{minute}분,{minute} minutos,{minute} دقيقة
@labelTimeMinutes,"{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}","{""description"": ""n분을 나타내는 문자열"", ""placeholders"": {""minute"": {""type"": ""String"", ""example"": ""1""}}}"
labelTimeSeconds,{second} seconds,{second} segundos,{second} secondes,{second}秒,{second}초,{second} segundos,{second} ثانية
